custid,retained,esent,eopenrate,eclickrate,avgorder,ordfreq,favday
SYPDRT,1,60,6.66666667,3.33333333,65.88,0.03690037,Tuesday
TEX22E,1,45,20,11.1111111,145.84,0,Tuesday
7AQ72R,1,47,95.7446809,10.6382979,51.04,0.06666667,Tuesday
A3R6N6,1,45,0,0,45.44,0.07142857,Wednesday
R2N368,1,56,30.3571429,10.7142857,78.12,0.10577972,Tuesday
U98SCK,1,37,0,0,130.11,0.01910828,Sunday
PQR5YW,1,46,0,0,89.09,0,Thursday
NDUS4V,1,42,54.7619048,7.14285714,41.25,0.12612613,Monday
UZ3WS5,0,0,0,0,74.98,0.10714286,Thursday
4RW78K,1,44,2.27272727,0,50.18,0.04761905,Wednesday
VLYQE8,1,40,17.5,5,29.43,0,Friday
ELR5LG,1,42,83.3333333,9.52380952,54.88,0.04489796,Wednesday
M4HV26,0,0,0,0,63.39,0.08108108,Saturday
TACLL6,1,50,4,0,32.3,0.00921659,Friday
UNRWCJ,1,40,42.5,0,56.84,0,Thursday
WUZW2W,1,35,60,11.4285714,17.54,0.13333333,Monday
TYZ97A,1,45,0,0,78.95,0.25,Tuesday
GA3GTU,1,49,4.08163265,2.04081633,84.12,0.01565558,Friday
ZYMZPY,1,38,21.0526316,7.89473684,29.22,0,Saturday
PBRFEL,1,45,20,6.66666667,72.88,0.02614379,Wednesday
DSDTFH,0,4,0,0,55.95,0,Monday
3747SV,1,45,0,0,50.16,0,Tuesday
2F24F8,1,45,0,0,59.89,0,Thursday
9B7XGY,1,43,16.2790698,2.3255814,50,0,Friday
SBCG2W,1,43,9.30232558,2.3255814,110.16,0.09,Monday
GM3DPG,0,5,60,20,92.86,0,Monday
SJDJUN,1,52,19.2307692,5.76923077,62.13,0.05882353,Wednesday
QERACW,1,45,6.66666667,2.22222222,77.5,0.02173913,Monday
DJTVFV,1,38,0,0,49.54,0.05325444,Sunday
K485AH,0,0,0,0,79.09,0,Wednesday
WRF3TG,1,29,89.6551724,20.6896552,70.22,0.03802281,Sunday
LP2J22,1,20,5,0,89.46,0.01498127,Saturday
E3LWKE,1,48,2.08333333,0,69.38,0,Wednesday
4GNF6X,0,0,0,0,41.24,0,Monday
AP9RWQ,1,30,90,10,94.31,0.02985075,Saturday
KGENRR,1,47,0,0,81.9,0.03603604,Tuesday
XNHR65,0,0,0,0,41,0,Thursday
RVCGAY,1,40,12.5,5,40.02,0,Monday
KS39YR,1,40,22.5,10,163.52,0.02830189,Monday
Q3L2GN,1,49,46.9387755,20.4081633,47.03,0.05818182,Friday
F7X76K,1,31,32.2580645,0,100.32,0.1372549,Wednesday
7RUST2,0,6,16.6666667,0,76.66,0.04489796,Monday
GNUAJ8,1,48,25,12.5,64.15,0,Saturday
6GV5CN,1,45,0,0,52.75,0,Tuesday
37UFUS,0,0,0,0,66.48,0,Sunday
NWDN5K,0,1,100,0,31.67,0.08196721,Monday
SDFXCS,0,10,30,0,68.82,0.02439024,Thursday
ZA6LA4,1,45,22.2222222,0,89.57,0,Monday
9GXQ3J,1,33,57.5757576,0,70,0,Saturday
79XSH6,1,49,4.08163265,2.04081633,104.53,0.05681818,Saturday
S5V9BD,1,44,11.3636364,0,63.84,0.0059761,Friday
T2XNEL,1,45,13.3333333,2.22222222,7.46,0,Wednesday
ZFRP2P,1,41,24.3902439,0,121.68,0,Saturday
VTPFTX,1,57,22.8070175,12.2807018,93.4,0.12773723,Saturday
ZCFQ43,1,54,25.9259259,0,27.32,0.15757576,Monday
YMALXC,1,51,3.92156863,0,95.48,0.0273224,Friday
SRGLRP,1,45,2.22222222,2.22222222,51.44,0,Thursday
ZVTY5Y,1,36,75,22.2222222,55.57,0.03846154,Monday
SZYLP3,1,49,10.2040816,4.08163265,66.43,0.05517241,Saturday
8EPCAJ,1,53,3.77358491,0,65.25,0.04,Monday
C48597,0,13,30.7692308,23.0769231,51.78,0.14285714,Wednesday
XB9DU8,0,6,83.3333333,0,56.48,0,Tuesday
VN3R8N,1,42,30.952381,16.6666667,52.86,0,Wednesday
SMAYZ3,1,51,0,0,86.12,0.0128866,Tuesday
7CNSXW,1,36,33.3333333,0,52.46,0,Tuesday
JQVEKK,1,37,48.6486487,0,45.68,0.03231293,Tuesday
7FEJ8Y,1,33,78.7878788,30.3030303,57.7,0,Sunday
68W8G7,1,52,21.1538462,9.61538462,126.97,0.02681992,Tuesday
KRU4MA,1,45,0,0,46.88,0,Wednesday
5DLVC8,1,44,6.81818182,0,29.12,0,Thursday
RP4RVL,0,0,0,0,155.81,0.05172414,Monday
3QUZNT,1,49,0,0,45.73,0.01041667,Friday
TGEYAU,1,51,3.92156863,1.96078431,30.13,0.03636364,Thursday
D5LCJS,1,45,0,0,164.9,0.01058201,Friday
XQ5DNQ,1,46,21.7391304,0,106.88,0.02325581,Wednesday
55MJDY,1,45,0,0,51.74,0,Thursday
WUABYY,1,43,11.627907,0,77.66,0.06060606,Wednesday
MT6MKD,1,33,57.5757576,0,111.13,0.28571429,Tuesday
ZBLRQX,1,42,26.1904762,2.38095238,41.61,0.01923077,Monday
8JEJAP,1,45,2.22222222,0,112.67,0.21428571,Monday
LKHQAL,1,42,28.5714286,0,73.94,0.14285714,Wednesday
NJGCWE,1,30,100,13.3333333,49.99,0,Saturday
7PGLNB,1,40,7.5,5,224.7,0,Tuesday
RKZJ2F,0,0,0,0,80.58,0,Thursday
H48TEN,1,45,0,0,53.12,0,Monday
MHZ3V9,1,45,2.22222222,0,90.35,0.03571429,Tuesday
Q98U9Z,1,44,9.09090909,2.27272727,28.06,0.13333333,Wednesday
93PF7A,1,45,0,0,52.55,0,Wednesday
FVQVX9,1,50,56,12,79.6,0.12328767,Friday
QEF6HW,0,0,0,0,85.23,0.08888889,Thursday
X8VYGJ,1,47,38.2978723,6.38297872,56.32,0.01872659,Wednesday
AGE5SJ,1,48,0,0,65.98,0.00884956,Monday
ZWZGXQ,1,45,0,0,61.5,0,Thursday
ZDDHUG,1,45,8.88888889,4.44444444,42.87,0,Friday
872G6K,1,39,71.7948718,25.6410256,81.33,0.03679654,Wednesday
68W99Y,1,41,29.2682927,2.43902439,48.02,0.02312139,Friday
MBW7SK,1,45,0,0,41.91,0.06666667,Tuesday
5D9BPN,1,35,82.8571429,0,38.91,0.03571429,Tuesday
PE8TLA,0,0,0,0,41.16,0.01986755,Friday
ECH3RM,1,46,4.34782609,4.34782609,65.73,0.19047619,Wednesday
6JV2LR,1,51,33.3333333,0,134.07,0.04166667,Tuesday
MZ4KS2,0,0,0,0,65.04,0,Tuesday
3JTYMY,1,46,2.17391304,0,69.42,0.05668934,Wednesday
22KC9U,1,51,5.88235294,1.96078431,129.21,0.03431373,Monday
B7JPAA,1,43,6.97674419,0,67.92,0,Thursday
BKUVQL,1,45,2.22222222,0,68.67,0,Monday
CGW5GF,1,43,37.2093023,0,54.81,0,Saturday
HWKXVD,0,0,0,0,122.7,0,Sunday
DDV9XQ,0,0,0,0,71.49,0.08823529,Thursday
AU8PYM,1,47,0,0,54.13,0.03864734,Thursday
72GPBE,1,43,11.627907,11.627907,84.75,0,Wednesday
WJHQH7,0,0,0,0,49.32,0,Wednesday
C7TJMB,1,44,2.27272727,2.27272727,40,0,Saturday
E8RH2T,1,40,20,7.5,51.97,0,Thursday
824KNZ,1,44,6.81818182,4.54545455,88.38,0,Wednesday
TKJFG8,0,8,37.5,0,56.61,0.04545455,Monday
BZXQU2,1,43,6.97674419,2.3255814,211.36,0.01257862,Sunday
QD4ENY,1,43,4.65116279,0,54.34,0.02777778,Thursday
JKGKAY,1,48,20.8333333,8.33333333,66.93,0.03636364,Thursday
GS25JM,1,41,39.0243902,0,293.41,0,Saturday
WSBDBC,1,45,0,0,51.53,0,Thursday
DN8J9F,0,0,0,0,151.56,0,Saturday
6GMXYZ,1,42,50,7.14285714,51.1,0.09157509,Tuesday
6V8YDW,1,45,26.6666667,6.66666667,109.15,0.03731343,Wednesday
8VJMPK,1,48,31.25,16.6666667,65.68,0.0703125,Monday
299YA5,1,48,6.25,2.08333333,69.96,0.04181185,Wednesday
MV4DM2,0,0,0,0,111.31,0.0131579,Friday
UMZSK6,1,47,0,0,113.37,0.19047619,Monday
2TACKD,0,41,4.87804878,2.43902439,93.68,0,Monday
RUY7QF,1,44,2.27272727,0,67.03,0,Wednesday
LZ4YD9,1,45,0,0,101.43,0,Monday
ZVWDSW,1,33,100,36.3636364,74.31,0.00898204,Monday
X7MNLF,0,0,0,0,70.54,0.12037037,Sunday
KZG5XF,0,0,0,0,83.6,0.00287356,Thursday
2YQRG9,0,6,16.6666667,0,78.61,0.02352941,Friday
PQF7D8,1,45,8.88888889,8.88888889,48.13,0.03703704,Friday
GQVZCP,1,46,4.34782609,2.17391304,22.6,0.02054795,Friday
ZG98Z8,1,45,13.3333333,2.22222222,94.35,0,Monday
4MT3VD,1,44,2.27272727,0,118.97,0.66666667,Wednesday
NKZLRR,1,39,28.2051282,2.56410256,52.53,0,Thursday
YWAZXT,1,32,84.375,12.5,54.94,0.02666667,Tuesday
YTR84M,0,9,22.2222222,0,59.61,0,Thursday
96M9NQ,1,27,92.5925926,3.7037037,89.5,0,Tuesday
2FEDWV,1,45,0,0,46.65,0,Friday
4LS82X,0,0,0,0,30.5,0.08571429,Wednesday
RW4KTD,1,31,3.22580645,0,52.34,0.015625,Monday
D2WDP2,1,35,2.85714286,2.85714286,97.48,0,Sunday
X5C7BR,1,48,6.25,0,43.68,0.1440678,Friday
2YDXE4,0,10,10,0,87.56,0.08247423,Thursday
ZE46DD,1,45,0,0,100.29,0,Saturday
8785G5,1,41,58.5365854,0,63.05,0,Tuesday
Q7JT9R,1,45,2.22222222,0,61.65,0,Monday
73FC7M,1,44,15.9090909,0,43.98,0,Monday
WV7YUK,1,45,22.2222222,6.66666667,78.44,0.05722892,Wednesday
E64ZHZ,1,39,25.6410256,7.69230769,81.35,0.04255319,Tuesday
93LLB2,1,42,45.2380952,2.38095238,10.19,0,Thursday
C479F2,1,45,13.3333333,4.44444444,51.65,0,Monday
36NVAG,1,46,39.1304348,2.17391304,94.12,0.12457531,Tuesday
LJRWGT,1,44,20.4545455,0,107.46,0.01923077,Saturday
UW4NJF,0,0,0,0,101.38,0.09923664,Wednesday
DPEF5D,1,41,29.2682927,9.75609756,32.73,0.03125,Tuesday
2K5ETA,1,55,34.5454546,1.81818182,57.31,0.11285267,Wednesday
53C6TL,1,57,47.3684211,24.5614035,47.41,0.12078652,Monday
PAQRD4,1,45,0,0,67.57,0.28571429,Tuesday
RDQ7CV,1,45,0,0,50.45,2,Tuesday
Y47QKG,1,45,0,0,50.65,0,Wednesday
SY7DFF,1,45,0,0,31.26,0,Thursday
8NH5GX,1,35,80,0,36.89,0.0952381,Friday
TDAZR8,1,49,4.08163265,0,111.9,0.01547988,Monday
2CVY3R,0,2,50,0,102.38,0.0158371,Thursday
J7XHWM,0,5,60,0,45.21,0,Tuesday
KEJJRC,1,48,8.33333333,6.25,63.03,0.03680982,Wednesday
47TP9X,1,44,6.81818182,4.54545455,152.94,0.01573034,Sunday
DEXS8V,0,30,33.3333333,3.33333333,38.53,0.0094518,Tuesday
2P4QUU,1,31,90.3225807,9.67741936,49.75,0.01904762,Wednesday
8Q4VAG,1,39,35.8974359,2.56410256,126.61,0,Wednesday
DGVESH,1,45,0,0,53.46,0,Wednesday
PSK964,0,0,0,0,94.82,0.11764706,Friday
K7NC6D,1,52,5.76923077,1.92307692,154.68,0.02910361,Friday
FEGRVG,1,47,4.25531915,4.25531915,500,0.02857143,Wednesday
ETG35K,1,49,8.16326531,4.08163265,57.23,0.01886793,Tuesday
LDY2QY,1,31,77.4193548,3.22580645,49.27,0,Tuesday
VZKB2N,1,46,17.3913044,4.34782609,62.58,0.01298701,Thursday
RZEXD7,1,45,0,0,96.69,0,Thursday
LAYJGC,1,45,0,0,182.71,0,Monday
88KAQ6,1,46,52.173913,17.3913044,110.76,0.07272727,Thursday
BXRMV5,0,16,31.25,0,135.09,0.13492064,Monday
FSD9ER,0,10,20,0,35.88,0,Tuesday
JEP465,1,46,13.0434783,4.34782609,51.3,0.05025126,Tuesday
8YSGMT,0,7,100,0,85.85,0,Monday
DVRMBS,1,47,0,0,111.44,0.05555556,Thursday
CA5YKU,0,0,0,0,45,0,Tuesday
WDW9MZ,1,51,9.80392157,1.96078431,72.22,0.00889454,Friday
NT8EBL,1,45,0,0,99.26,0,Wednesday
HBWLYQ,1,45,4.44444444,2.22222222,52.46,0,Friday
54WKHS,1,47,0,0,63.42,0.02083333,Tuesday
FDBHCB,1,54,14.8148148,1.85185185,50.88,0.04782609,Thursday
9M9CDR,1,41,48.7804878,7.31707317,153.81,0.02277433,Thursday
D7UYGE,0,10,70,0,53.64,0,Tuesday
M9HL6Y,1,48,2.08333333,0,57.51,0.04103344,Tuesday
758UCM,1,44,9.09090909,0,55.51,0,Wednesday
A9WR8E,1,43,18.6046512,0,30.42,0,Tuesday
RPP5HQ,1,36,88.8888889,5.55555556,83.94,0.01408451,Tuesday
AC735W,1,44,18.1818182,6.81818182,30.1,0.05660377,Wednesday
BL9WWD,1,47,25.5319149,0,47.9,0.05015674,Wednesday
BMCWEL,1,44,18.1818182,0,62.12,0.05194805,Thursday
5SHGPH,0,0,0,0,53.88,0,Saturday
V6YN7L,1,39,46.1538462,10.2564103,56.3,0.01428571,Saturday
U5GYED,0,13,7.69230769,0,55.39,0,Tuesday
MNRP2P,1,45,2.22222222,2.22222222,53.12,0,Friday
JAMKC3,0,1,0,0,50.05,0,Tuesday
HJURGR,1,40,37.5,5,60.5,0,Thursday
AVY6WE,1,68,11.7647059,4.41176471,65.15,0.13976706,Monday
CCZER8,1,43,20.9302326,2.3255814,52.91,0.01769912,Wednesday
6VX3KN,1,42,2.38095238,0,49.8,0,Thursday
VGUJBF,1,43,25.5813954,11.627907,35.68,0.05555556,Tuesday
L8M3FR,0,2,50,50,167.16,0.01511879,Wednesday
Z2Y7LX,1,44,6.81818182,0,53.58,0.02597403,Monday
X97TAN,1,45,0,0,40.9,0,Monday
JH7G6U,1,44,81.8181818,6.81818182,73.44,0.04512067,Friday
477PXA,1,44,6.81818182,0,40.42,0.14285714,Wednesday
Y2T4WR,1,45,2.22222222,2.22222222,32.41,0.08571429,Thursday
P9GD24,1,45,11.1111111,2.22222222,84.76,0.15384615,Tuesday
9R4HHY,1,45,0,0,11.25,0,Wednesday
X36N6R,0,2,50,0,139.25,0.10318949,Tuesday
XFK8CE,1,45,4.44444444,4.44444444,49.56,0,Friday
FYZFZK,1,45,4.44444444,2.22222222,115.25,0.02255639,Tuesday
F4TDXG,1,48,8.33333333,6.25,86.19,0.02766798,Friday
HWCAG2,1,39,51.2820513,10.2564103,101.14,0.01705757,Tuesday
N9KXW5,1,44,2.27272727,0,30.89,0.22222222,Friday
TEFC2D,0,0,0,0,70.15,0.00757576,Monday
ZCPP72,1,29,89.6551724,6.89655172,54.31,0,Tuesday
FRMAUN,1,45,0,0,88.47,0,Wednesday
3FZBLD,0,0,0,0,57.19,0,Monday
WSHLKZ,1,37,94.5945946,18.9189189,50.88,0.0375,Friday
3KCTL3,1,38,86.8421053,2.63157895,47.32,0.01005025,Friday
ML9KNH,1,41,48.7804878,14.6341463,31.27,0.05286344,Tuesday
A45BM9,0,3,66.6666667,0,32.25,0.13265306,Tuesday
KQ4JJH,0,1,0,0,78.07,0.02059497,Tuesday
772STT,1,35,51.4285714,0,57.29,0,Wednesday
W5K39R,0,0,0,0,66.42,0.01304348,Friday
ZLWBBL,0,0,0,0,29.35,0.00769231,Wednesday
DTSW75,1,45,8.88888889,2.22222222,148.4,0.02222222,Tuesday
QATGTK,0,3,33.3333333,0,86.17,0.06008584,Wednesday
ZGQMD3,1,39,38.4615385,12.8205128,80.04,0,Saturday
DQJWEJ,0,0,0,0,35.34,0.02173913,Wednesday
9ZCML5,1,55,12.7272727,7.27272727,91.87,0.01369863,Thursday
XUP6SX,1,49,22.4489796,6.12244898,55.08,0.03162055,Tuesday
FTK5TU,1,41,53.6585366,7.31707317,61.78,0.02205882,Thursday
75J3MH,1,45,8.88888889,4.44444444,90.61,0.02298851,Wednesday
6DYDXJ,1,34,5.88235294,0,74.89,0.03125,Sunday
HQB5C6,1,46,10.8695652,2.17391304,75.48,0.02380952,Monday
292EQK,1,37,5.40540541,2.7027027,75.15,0.08988764,Sunday
3XTJP8,1,45,0,0,42.05,0,Friday
57ALKF,1,38,68.4210526,57.8947368,61.94,0.02524544,Friday
2Q7CV2,1,38,71.0526316,15.7894737,115.59,0.03030303,Wednesday
QG9CRT,1,33,6.06060606,0,162.33,0.04477612,Monday
9RG8NQ,1,41,36.5853659,0,93.37,0,Tuesday
E2E4XL,1,67,14.9253731,1.49253731,68.88,0.12626263,Tuesday
9GD2M3,1,35,74.2857143,17.1428571,69.4,0.13636364,Monday
K7C3PB,1,37,45.945946,0,113.82,0.16666667,Tuesday
XPUVL3,1,45,6.66666667,0,76.78,0,Tuesday
9MV24J,1,43,23.255814,0,86,0.01034483,Friday
P4NCCK,1,44,2.27272727,2.27272727,46.87,0,Thursday
PNM88R,1,45,2.22222222,0,89.53,0,Friday
H9LT3B,0,3,100,0,39.5,0.04145078,Tuesday
ZLVYXL,1,46,2.17391304,2.17391304,158.28,0,Thursday
YK5HAU,1,43,11.627907,0,28.35,0,Wednesday
ZJ75BB,1,45,11.1111111,0,57.01,0.19047619,Monday
8U3HBE,1,42,19.0476191,4.76190476,46.12,0,Thursday
7BK2BU,1,50,0,0,54.87,0.06833114,Monday
QEM3C3,1,47,6.38297872,2.12765957,69.75,0.02285714,Monday
DSR7X7,1,46,4.34782609,0,63.12,0,Tuesday
BMTQ25,1,59,42.3728814,28.8135593,160.37,0.17670683,Thursday
MEN63P,1,46,36.9565217,15.2173913,62.39,0.12878788,Tuesday
ZFWEGW,0,3,33.3333333,0,48.44,0.05357143,Tuesday
R6SFSA,0,1,100,0,48.24,0.02893891,Monday
UEVAVJ,1,36,47.2222222,8.33333333,199.38,0.04580153,Thursday
FHZF6X,1,45,24.4444444,11.1111111,46.33,0.02877698,Thursday
DBP8F9,1,41,29.2682927,12.195122,76.48,0.01595745,Tuesday
5Y7UMW,1,35,88.5714286,0,54.43,0,Thursday
U2P4E8,1,51,9.80392157,1.96078431,112.17,0.06871345,Thursday
KP2828,1,46,0,0,89.16,0,Monday
NT7MXD,1,35,48.5714286,0,88.27,0,Tuesday
,0,0,0,0,170.4,0,Thursday
ZBVB7L,1,45,4.44444444,0,136.46,0.02469136,Friday
NLDFTM,1,35,5.71428571,0,76.25,0.05714286,Sunday
9C54NT,1,33,27.2727273,12.1212121,94.78,0.12941177,Thursday
LCK32U,1,45,4.44444444,0,40.93,0,Thursday
EKJSD5,1,45,4.44444444,2.22222222,66.66,0,Wednesday
3HY7HZ,1,45,0,0,139.83,0.00492611,Tuesday
6BMZVS,1,45,4.44444444,0,31.97,0.15384615,Tuesday
7S87GF,0,0,0,0,59.96,0,Saturday
A7EJXB,1,49,10.2040816,0,89.67,0,Tuesday
945XAZ,1,45,2.22222222,2.22222222,45,0,Thursday
F7HTZG,0,3,66.6666667,0,110.39,0.03187251,Thursday
FKUU6S,0,0,0,0,23.6,0,Tuesday
MT5RVQ,0,13,7.69230769,7.69230769,40,0,Monday
TBP6PV,1,46,8.69565217,2.17391304,64.67,0.15662651,Saturday
CX48AK,1,38,89.4736842,23.6842105,152.39,0.03963012,Monday
K8S6B9,1,40,97.5,10,67.23,0.02,Monday
X4YGF5,0,0,0,0,33.34,0,Monday
2MYLLF,1,44,54.5454546,4.54545455,92,0.03525641,Tuesday
VHBBYJ,1,59,30.5084746,8.47457627,57.05,0.13300493,Tuesday
GBT3BQ,1,45,31.1111111,0,38.46,0.04716981,Wednesday
QV5XZ2,1,46,67.3913044,43.4782609,110.39,0.03284672,Thursday
89U7SF,1,44,6.81818182,4.54545455,35.38,0,Tuesday
56HMHE,1,50,46,10,97.06,0.11706349,Thursday
TV5UMP,1,56,3.57142857,0,61.93,0.03069658,Monday
Z3CVCK,0,0,0,0,32.69,0.33333333,Tuesday
5U9XZ4,1,47,6.38297872,2.12765957,125.09,0.01029601,Tuesday
HSDP3L,0,0,0,0,52.77,0,Monday
ZTJTBB,1,41,46.3414634,2.43902439,61.49,0.02142857,Friday
ECLSJL,1,52,36.5384615,23.0769231,57.29,0.03576983,Tuesday
7TPLRP,0,0,0,0,92,0,Tuesday
5J2CXD,1,37,62.1621622,2.7027027,71.99,0.01176471,Monday
HWHBBC,1,36,0,0,39.83,0,Sunday
4R2FQS,0,16,6.25,0,65.09,0.04779412,Monday
GWFWCR,1,43,23.255814,11.627907,57.3,0.06192661,Saturday
2YM8FT,1,44,11.3636364,6.81818182,99.23,0.00841346,Tuesday
SRH6MW,1,46,19.5652174,0,48.81,0,Wednesday
RU4NZG,1,45,0,0,54.36,0.28571429,Wednesday
DBTGYG,1,44,6.81818182,0,72.93,0.00507614,Tuesday
8SY3KL,1,45,6.66666667,0,54.91,0,Wednesday
KS42U8,1,45,0,0,29.34,0.02298851,Saturday
8AWCTV,1,45,0,0,57.83,0,Tuesday
SNS8BE,1,45,0,0,35.38,0.28571429,Wednesday
D67EB8,1,43,23.255814,0,89.79,0,Wednesday
PQC4MJ,1,45,28.8888889,8.88888889,58.68,0.02941177,Wednesday
28CD7Y,1,33,69.6969697,6.06060606,73.82,0.03968254,Saturday
CTXW8A,0,0,0,0,41.08,0,Saturday
E5GLTG,1,43,4.65116279,4.65116279,89.17,0,Saturday
RCBBZC,1,44,75,22.7272727,55.09,0.04603581,Wednesday
H8EVLK,1,40,37.5,0,41.32,0.01162791,Thursday
6N4WGN,1,45,2.22222222,0,82.91,0.01449275,Thursday
B7ETTS,1,37,16.2162162,5.40540541,50.88,0,Saturday
MSWKPC,0,0,0,0,67.73,0.06097561,Saturday
7FMFSW,1,48,18.75,6.25,72.98,0.01967213,Monday
6F43FU,0,29,24.137931,0,54.35,0.03614458,Friday
KX3Q67,1,52,71.1538462,17.3076923,86.43,0.17299578,Friday
2QTNFT,1,46,2.17391304,0,50.82,0.02898551,Thursday
LDE73V,1,45,2.22222222,0,54.01,0,Thursday
FR4ANK,1,47,2.12765957,2.12765957,19.49,0.00869565,Tuesday
WSXCXC,0,2,0,0,49.83,0,Monday
B7NC3X,1,45,4.44444444,0,76.57,0,Wednesday
XR6ZCG,1,39,25.6410256,12.8205128,79.61,2,Thursday
MRVRKH,1,41,60.9756098,14.6341463,104.33,0.01129944,Tuesday
PT58G5,1,53,11.3207547,0,57.88,0.03112841,Thursday
QMD2FE,1,46,21.7391304,6.52173913,71.8,0.12698413,Thursday
GRNVV8,1,45,24.4444444,4.44444444,99.12,0.13380282,Saturday
2GJ5QH,1,45,22.2222222,0,55.9,0.09756098,Monday
XRD68C,1,47,0,0,53.25,0.06372549,Wednesday
FZCS2D,1,54,12.962963,9.25925926,142.53,0.00498753,Wednesday
XVKAWH,1,45,0,0,190.71,0,Monday
FSMGTL,1,47,4.25531915,0,141.61,0.0952381,Saturday
YUEQ7E,1,45,2.22222222,0,54.54,0,Tuesday
YNDLG3,1,45,0,0,101.36,0,Wednesday
ASMU74,1,40,30,5,56.85,0,Friday
U4M82X,0,0,0,0,49.67,0,Tuesday
N6B5SK,0,2,50,0,88.47,0.08411215,Monday
8VHP54,1,45,13.3333333,6.66666667,44.72,0.06,Friday
3P9RCB,0,41,4.87804878,0,59.53,0,Saturday
X6HFM6,1,39,56.4102564,2.56410256,96.47,0,Saturday
E377V5,1,41,34.1463415,4.87804878,62.88,0.01677852,Tuesday
W4B4ML,1,45,0,0,99.22,0,Wednesday
HBZYVV,1,53,26.4150943,5.66037736,210.15,0.00660793,Monday
8UVU3B,0,0,0,0,50.94,0,Thursday
F5THPN,0,3,33.3333333,0,100.27,0,Wednesday
QBX6QF,1,45,28.8888889,13.3333333,96.16,0.12781955,Thursday
5A66VH,1,41,21.9512195,0,55.81,0.11538462,Monday
MUZ2KL,1,30,86.6666667,30,69.78,0,Friday
7ZJWSL,1,45,2.22222222,2.22222222,72.32,0.01744186,Thursday
AN98DQ,1,44,27.2727273,6.81818182,40.09,0.02398801,Monday
63CL4L,1,47,0,0,72.8,0.03809524,Tuesday
E89L49,1,39,20.5128205,10.2564103,59.13,0,Wednesday
4BYMVD,1,45,0,0,60.57,0.4,Thursday
G68J3H,0,0,0,0,19.5,0.00266667,Tuesday
2RCLDQ,1,40,17.5,7.5,89.03,0,Monday
USGPL5,1,45,2.22222222,0,89.2,0,Saturday
96RLLV,0,22,4.54545455,0,141.76,0,Friday
PW6VR3,1,44,9.09090909,2.27272727,231.63,0.125,Saturday
Q5YFD9,1,45,2.22222222,0,100,0,Saturday
3ZDEA8,0,0,0,0,30.1,0,Monday
XQ92PK,1,47,12.7659575,0,94.41,0.03825137,Tuesday
XE9JN5,1,45,4.44444444,2.22222222,48.07,0.02777778,Friday
VTP78H,1,45,0,0,56.66,0.00672646,Thursday
KH37JN,1,45,0,0,18.5,0,Tuesday
9JLX9J,1,46,15.2173913,6.52173913,29.84,0.00814664,Monday
KUMLWN,1,45,2.22222222,0,80.18,0,Saturday
DU2ZL3,0,0,0,0,101.58,0,Thursday
Q4MRCG,1,44,11.3636364,4.54545455,59.68,0.01886793,Thursday
VZ7YNX,1,49,4.08163265,4.08163265,57.69,0.01030928,Saturday
EWPLTG,1,45,11.1111111,2.22222222,89.49,0,Tuesday
GQ38R2,1,45,0,0,60.2,0,Monday
WJGXYX,1,47,10.6382979,2.12765957,67.19,0.01980198,Tuesday
BFHCNK,1,44,9.09090909,2.27272727,56.6,0.00643087,Tuesday
54Z9V7,1,45,6.66666667,0,40.24,0.07142857,Thursday
JUSHJT,1,58,5.17241379,3.44827586,52.38,0.07605178,Monday
UN7E3D,1,44,13.6363636,0,34.93,0,Friday
ZVHUHA,1,46,15.2173913,0,59.52,0.08108108,Thursday
YHSDDD,1,45,0,0,86.57,0,Thursday
T5GGFZ,0,0,0,0,209.7,0.04022989,Thursday
RYXH59,1,44,25,4.54545455,47.57,0.06756757,Monday
CKPSDA,0,0,0,0,59.85,0.12,Tuesday
6WWKQQ,1,45,2.22222222,0,58.3,0.02105263,Wednesday
LEARY6,1,44,6.81818182,0,36.24,0,Wednesday
XL22UJ,0,0,0,0,389.78,0.22222222,Wednesday
CJFKLK,1,14,35.7142857,7.14285714,35.88,0,Monday
ZN5YEG,0,6,50,0,61.18,0,Thursday
JVCPST,1,37,2.7027027,0,62.82,0,Thursday
YAM6CY,1,43,30.2325581,2.3255814,70.03,0.06024096,Thursday
LRW8FA,1,39,43.5897436,0,32.85,0.13888889,Monday
,1,42,26.1904762,2.38095238,73.96,0,Tuesday
Q5UZZG,1,47,27.6595745,2.12765957,123.26,0.03412969,Friday
YFV9L2,1,45,0,0,52.98,0.05555556,Saturday
QAYKJQ,1,36,0,0,68.2,0.01360544,Sunday
TXSTGB,1,45,2.22222222,0,52.03,0,Tuesday
QB4NS6,1,44,18.1818182,0,132.45,0.10344828,Thursday
YZ2ZF3,1,51,29.4117647,1.96078431,100.32,0.02259036,Tuesday
KQD3GP,1,49,6.12244898,0,75.39,0.09090909,Tuesday
55HB4C,1,45,0,0,17.57,2,Wednesday
ZB6EQL,1,46,4.34782609,0,57.69,0.04255319,Thursday
74T8WS,1,35,17.1428571,5.71428571,62.63,0.09375,Wednesday
P3UR3S,1,52,42.3076923,9.61538462,83.37,0.10191083,Friday
6Q46LX,0,0,0,0,53.1,0.03816794,Monday
J2C9T5,1,42,16.6666667,2.38095238,49.41,0.13333333,Wednesday
TNKPL9,1,47,0,0,80.64,0.02621723,Wednesday
47KEY3,1,50,20,10,161.07,0.08794788,Tuesday
84RSBV,1,51,7.84313726,7.84313726,79.12,0.08730159,Monday
